Midtown South,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Address,Date Added,Floor,SF, Asking Rent ,Space Use,Type,Sub-LL,Occupany,Term,Leasing Company,Agent,Agent email,Class,Submarket Cluster,Submarket Notes,Email Sent,Notes
22-30 Little W 12th Street,06/13/2025,Entire 2nd,"7,100", Withheld ,Office,Direct,,Vacant,Negotiable,Aurora Capital Associat,Jake Bank,jakeb@auroracapitalre.com,B,Midtown South,Hudson Square,,
22-30 Little W 12th Street,06/13/2025,Entire 3rd,"7,100", Withheld ,Office,Direct,,Vacant,Negotiable,Aurora Capital Associat,Jake Bank,jakeb@auroracapitalre.com,B,Midtown South,Hudson Square,,
22-30 Little W 12th Street,06/13/2025,Entire 4th,"5,100", Withheld ,Office,Direct,,Vacant,Negotiable,Aurora Capital Associat,Jake Bank,jakeb@auroracapitalre.com,B,Midtown South,Hudson Square,,
305 W 10th Street,06/13/2025,Entire 1st,"3,625", Withheld ,Off/Ret,Direct,,Vacant,Negotiable,Aurora Capital Associat,Jake Bank,jakeb@auroracapitalre.com,C,Midtown South,Hudson Square,,
305 W 10th Street,06/13/2025,Entire 2nd,"4,759", Withheld ,Off/Ret,Direct,,Vacant,Negotiable,Aurora Capital Associat,Jake Bank,jakeb@auroracapitalre.com,C,Midtown South,Hudson Square,,
305 W 10th Street,06/13/2025,Entire 3rd,"4,759", Withheld ,Off/Ret,Direct,,Vacant,Negotiable,Aurora Capital Associat,Jake Bank,jakeb@auroracapitalre.com,C,Midtown South,Hudson Square,,
102 Madison Avenue,06/13/2025,Partial 11th,"11,012", $ 52.00 ,Office,Direct,,Vacant,Negotiable,Adams & Company R,Brad Cohn,bcohn@adamsre.com,C,Midtown South,Gramercy Park,,
19-21 W 24th Street,06/17/2025,Entire 8th,"5,418", $ 58.00 ,Office,Sublet,,Vacant,Negotiable,Kaufman Organization,Michael Heaner,michaelh@kaufmanorganization.,B,Midtown South,Chelsea,,
512 W 22nd Street,06/17/2025,Partial 6th,"6,988", Withheld ,Office,Sublet,,Sep 2025,Thru Jun 2027,Cushman & Wakefield,Sam Hoffman,sam.hoffman@cushwake.com,A,Midtown South,Chelsea,,
"24-32 Union Sq E",06/17/2025,Entire 4th,"13,559", Withheld ,Office,Sublet,,Aug 2025,Thru Feb 2030,Savills,Erik Schmall,eschmall@savills.us,B,Midtown South,Gramercy Park,,
"24-32 Union Sq E",06/17/2025,Entire 5th,"13,727", Withheld ,Office,Sublet,,Jan 2026,Thru Feb 2030,Savills,Erik Schmall,eschmall@savills.us,B,Midtown South,Gramercy Park,,
"24-32 Union Sq E",06/17/2025,Entire 6th,"13,399", Withheld ,Office,Sublet,,Jan 2026,Thru Feb 2030,Savills,Erik Schmall,eschmall@savills.us,B,Midtown South,Gramercy Park,,
118 W 22nd Street,06/18/2025,Entire 12th,"8,250", Withheld ,Office,Sublet,,Sep 2025,Thru Feb 2028,Cushman & Wakefield,Theodora Livadiotis,theodora.livadiotis@cushwake.co,B,Midtown South,Chelsea,,
118 W 22nd Street,06/18/2025,Entire 12th,"8,250", Withheld ,Office,Sublet,,Sep 2025,Thru Feb 2028,Cushman & Wakefield,Theodora Livadiotis,theodora.livadiotis@cushwake.co,B,Midtown South,Chelsea,,
One Soho Sq,06/18/2025,Partial 2nd,"27,344", $ 68.00 ,Office,Sublet,,Vacant,Thru Feb 2031,Savills,Michael Bertini,MBertini@savills.us,A,Midtown South,Hudson Square,,
