Midtown ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Address,Date Added,Floor,SF, Asking Rent ,Space Use,Type,Sub-LL,Occupany,Term,Leasing Company,Agent,Agent email,Class,Submarket Cluster,Submarket Notes,Email Sent,Notes
145 W 30th Street,06/13/2025,Entire 4th,"8,323", Withheld ,Office,Direct,,Jul 2025,Negotiable,The Feil Organization,Kyle Young,kyoung@feil.com,B,Midtown,Penn Plaza/Garment,,
60 E 42nd Street - One Grand Central Place,06/13/2025,Partial 45th,"5,055", $ 60.00 ,Office,Sublet,,Vacant,Thru Mar 2033,JLL,Sofia Bruno,Sofia.Bruno@jll.com,B,Midtown,Grand Central,,
540 Madison Avenue - 540 Madison,06/16/2025,Entire 15th,"6,950", Withheld ,Office,Direct,,Vacant,Negotiable,Cushman & Wakefield,Ronald Lo Russo,Ron.LoRusso@cushwake.co,A,Midtown,Plaza District,,
540 Madison Avenue - 540 Madison,06/16/2025,Entire 33rd,"6,950", Withheld ,Office,Direct,,Vacant,Negotiable,Cushman & Wakefield,Ronald Lo Russo,Ron.LoRusso@cushwake.co,A,Midtown,Plaza District,,
575 Fifth Avenue,06/16/2025,Partial 11th,"18,214", $ 66.00 ,Office,Direct,,Vacant,Negotiable,Cushman & Wakefield,Eric Hazen,Eric.hazen@cushwake.com,A,Midtown,Plaza District,,
38 E 32nd Street,06/16/2025,Partial 12th,"7,743", $ 62.00 ,Office,Direct,,Feb 2026,Negotiable,Colliers,Mac Roos,mac.roos@colliers.com,C,Midtown,Murray Hill,,
810 Seventh Avenue,06/16/2025,Partial 36th,"8,698", $ 78.00 ,Office,Direct,,Feb 2026,5 - 10 Years,Cushman & Wakefield,Harry F. Blair,harry.blair@cushwake.com,A,Midtown,Columbus Circle,,
100 Park Avenue - The Emporis Building,06/16/2025,Partial 6th,"24,394", $ 75.00 ,Office,Direct,,Vacant,5 - 10 Years,Cushman & Wakefield,Tara I. Stacom,tara.stacom@cushwake.com,A,Midtown,Grand Central,,
509 Fifth Avenue,06/16/2025,Entire 3rd,"4,500", $ 59.00 ,Off/Ret,Direct,,Vacant,1 - 10 Years,Spiegel Real Estate,Spiegel Real Estate,tedspiegel@msn.com,C,Midtown,Grand Central,,
509 Fifth Avenue,06/16/2025,Entire 4th,"4,500", $ 59.00 ,Off/Ret,Direct,,Vacant,1 - 10 Years,Spiegel Real Estate,Spiegel Real Estate,tedspiegel@msn.com,C,Midtown,Grand Central,,
509 Fifth Avenue,06/16/2025,Entire 5th,"4,500", $ 59.00 ,Off/Med,Direct,,Vacant,1 - 10 Years,Spiegel Real Estate,Spiegel Real Estate,tedspiegel@msn.com,C,Midtown,Grand Central,,
509 Fifth Avenue,06/16/2025,Entire 6th,"4,500", $ 59.00 ,Office,Direct,,Vacant,1 - 10 Years,Spiegel Real Estate,Spiegel Real Estate,tedspiegel@msn.com,C,Midtown,Grand Central,,
